,Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População
82,Zimbabwe,ZWE,1990,-46070.0,0.444399331020227,65105.0,10432409
83,Zimbabwe,ZWE,2000,-46070.0,0.4416970427708656,80033.0,11881482
84,Guyana,GUY,1990,-3790.0,0.4390993534461688,2700.0,743306
85,Zimbabwe,ZWE,2010,-46070.0,0.4360423911323831,59600.0,12697728
86,Ethiopia,ETH,2010,-73000.0,0.433442006970554,48444.0,87639962
87,South Africa,ZAF,1990,-36399.99999999998,0.4282397458983076,381178.0,36800507
88,South Africa,ZAF,2000,-36399.99999999998,0.4275584411566547,408625.0,44967713
89,South Africa,ZAF,2010,-36400.000000000015,0.4240805752825156,459685.0,51216967
90,Spain,ESP,2000,145140.0,0.4111045710782752,1976746.0,40567864
91,Chile,CHL,2010,174160.0,0.4073056865187699,35823.0,17062531
92,Chile,CHL,2000,90820.0,0.3803961796391669,33325.0,15342350
93,Suriname,SUR,2010,-9640.0,0.3725933098164734,1136.0,529126
94,Suriname,SUR,2000,-4100.000000000001,0.3689439339764221,1110.0,470944
95,Suriname,SUR,1990,-3680.0,0.3629853210803271,2861.0,405169
96,Chile,CHL,1990,57100.0,0.3598794062841102,33689.0,13274617
97,Ecuador,ECU,1990,-90170.0,0.3453898581878205,197181.0,10230931
98,Ecuador,ECU,2000,-70229.99999999999,0.3302149542668221,244698.0,12681123
99,Vietnam,VNM,2010,134760.0,0.3260357668254176,203335.0,87967655
100,Mali,MLI,2010,-79000.0,0.3237938548012746,48200.0,15049352
101,Madagascar,MDG,1990,-66900.0,0.3232306502983493,18952.0,11598647
102,Mali,MLI,2000,-79000.0,0.3197653422622385,68116.0,10946448
103,Ecuador,ECU,2010,-41800.0,0.3172719510517011,446222.0,15011114
104,Mali,MLI,1990,-79000.0,0.3138489370003069,63880.0,8449915
105,Norway,NOR,2010,7799.999999999999,0.2947166990677666,87773.0,4889252
106,Norway,NOR,2000,-1099.9999999999995,0.2913144999114392,75586.0,4490967
107,Norway,NOR,1990,-1900.0,0.2863729921546122,70467.0,4241473
108,Vietnam,VNM,2000,160400.0,0.2834045404446785,179900.0,79910411
109,Germany,DEU,2010,2000.0,0.2778402594334944,3660434.0,81776930
110,Germany,DEU,2000,5500.0,0.2730607472958375,2827331.0,82211508
111,Germany,DEU,1990,5400.0,0.2667338288284799,1794375.0,79433029
112,New Zealand,NZL,2010,-299.99999999999886,0.2398285753117876,1891.0,4350700
113,New Zealand,NZL,2000,-230.00000000000043,0.2369005203093897,1561.0,3857700
114,Ukraine,UKR,2010,21800.0,0.2325198349610837,3096256.0,45870741
115,Ukraine,UKR,2000,3800.0,0.228713026843704,1012125.0,49176500
116,Poland,POL,2010,18200.0,0.2271865878039328,960831.0,38042794
117,Vietnam,VNM,1990,240810.0,0.2213173194462543,135367.0,67988855
118,New Zealand,NZL,1990,47819.99999999999,0.2212302178685218,1095.0,3329800
119,Italy,ITA,2010,53810.0,0.2198573911627632,1136693.0,59277417
120,Poland,POL,2000,27000.0,0.2178665941300857,347920.0,38258629
121,Belarus,BLR,2010,19900.0,0.2101640318091907,160463.0,9490583
122,Poland,POL,1990,17700.0,0.2096575104119078,323354.0,38110782
