Entidade,Código,Ano,Conversão_líquida_de_floresta,Área_de_Floresta,Produção_Óleo,População,Perde,Teste
Canada,CAN,2010,-0.0012145312399049442,2.487360824084177e-07,0.08315274900617967,34004889,1,-0.606117320797454
Uganda,UGA,2010,-0.001272042413502041,2.065495496258502e-09,0.00453001286165939,32428164,1,0.3175357923789184
Russia,RUS,2010,-0.0002872254308990496,1.38962887330505e-07,0.021056088217283386,142849468,1,-0.5391811614656146
Senegal,SEN,2010,-0.0031550361910257676,1.6266008871550264e-08,0.014274803494486534,12678143,1,-0.08501694120313336
South Africa,ZAF,2010,-0.0007107019828019105,8.280079827501609e-09,0.008975248378140002,51216967,1,0.04276392453591575
Papua New Guinea,PNG,2010,-0.004226790134535037,1.205188511623987e-07,0.08123917996441289,7310512,1,-0.4479109729909015
Liberia,LBR,2010,-0.007776207631425233,4.9564861288574556e-08,0.01209346765151591,3891357,1,-0.3372489364330316
Central African Republic,CAF,2010,-0.006838752474773552,1.2547849784905686e-07,0.009625316149827949,4386765,1,-0.5515199785185934
Guatemala,GTM,2010,-0.001918695690866146,6.357464969663661e-09,0.014701795347962406,14259687,1,0.12275235390476584
Honduras,HND,2010,-0.002684711583466457,1.925233056287735e-08,0.04678082882685317,8317467,1,-0.06933517045677183
Sweden,SWE,2010,-0.001983338675552024,7.289879640259333e-08,0.014783124048450618,9378126,1,-0.41311273505215707
Niger,NER,2010,-0.000754372032355393,1.7807460647249503e-09,0.0017872300363975394,16464025,1,0.30882318889379856
Gabon,GAB,2010,-0.0073146133414114245,3.546033542612758e-07,0.0021315817666638344,1624146,1,-0.8467921948255377
Panama,PAN,2010,-0.0031350449434223216,2.893420216675326e-08,0.00339886089706758,3642691,1,-0.2753353261259274
Equatorial Guinea,GNQ,2010,-0.00885931075410114,6.534414357759389e-08,0.006490822771395871,943640,1,-0.4256305248696371
Mauritania,MRT,2010,-0.001556865663098849,2.559468653719592e-09,5.494819987407704e-05,3494200,1,0.07442972961349442
El Salvador,SLV,2010,-0.000727698820658949,2.4765924023689183e-09,0.0005176364277620658,6183877,1,0.18129062645055843
Togo,TGO,2010,-0.00046093900126353344,4.698130515899001e-09,0.0053493839768259804,6421674,1,0.14431705960454663
Thailand,THA,2010,-3.571692621561673e-05,7.274827757385613e-09,0.02543762461486736,67195032,1,0.11748305332257476
Netherlands,NLD,2010,-0.00010412031156167584,5.473993806415725e-10,0.07510252239579754,16615394,1,0.7341101470009294
Bangladesh,BGD,2010,-6.70843364559196e-06,3.116120060923142e-10,0.0012135285417051766,147575433,1,0.6746880522028207
Sao Tome and Principe,STP,2010,-0.003437340607189586,7.844307452838578e-09,0.024233251280686582,180372,1,0.09876513167041232
New Zealand,NZL,2010,-6.895442112763437e-05,5.51241352682988e-08,0.00043464270117452367,4350700,1,-0.5083450528224432
Singapore,SGP,2010,-4.9244277617963684e-05,8.509945247190516e-11,0.0015907871441706988,5076732,1,0.9719568071687429
Belgium,BEL,2010,-1.0095831467899029e-05,1.5419285937957263e-09,0.06417020617339902,10895586,1,0.4995288006525426
Mauritius,MUS,2010,-1.5994881637875884e-05,7.476816856524313e-10,1.4395393474088291e-05,1250400,1,0.28537194950519096
Georgia,GEO,2010,0.0,1.8151220514204578e-08,0.0020334354892591034,3786695,1,-0.19567944336266266
Kuwait,KWT,2010,0.0,5.087247438607246e-11,0.00022059678784337896,2991884,1,0.9972702040979166
Maldives,MDV,2010,0.0,5.460103336036109e-11,0.0004128728843682498,365730,1,1.0095679623941591
Montenegro,MNE,2010,0.0,3.251339141611244e-08,0.0002905906739766365,619428,1,-0.4102055224849256
Iraq,IRQ,2010,0.0,6.755098884183018e-10,0.0006430978007951522,29741977,1,0.47644620544670024
Nepal,NPL,2010,0.0,5.374840811584582e-09,0.0008509911466639263,27013207,1,0.03308685461703077
Slovenia,SVN,2010,9.76284583050821e-05,1.4823832010219698e-08,0.0018319980200948655,2048583,0,-0.1558099540768029
Croatia,HRV,2010,9.312229028685623e-05,1.0885352108268748e-08,0.01280943664040851,4295427,0,-0.0015564458018291684
Spain,ESP,2010,2.511974981931493e-05,9.696429485475942e-09,0.053141968645957674,46576897,0,0.08706088163624799
Serbia,SRB,2010,0.00017966282636232422,9.061170894064613e-09,0.0316232632364873,7291436,0,0.07889534462983346
Tunisia,TUN,2010,0.00014386128387263296,1.5740864405382855e-09,0.02309782238208899,10635245,0,0.44960500005281756
Germany,DEU,2010,2.4456775278798066e-05,3.3975383941839634e-09,0.04476120588043596,81776930,0,0.30990903689198657
Morocco,MAR,2010,6.245481301523675e-05,4.272628139506673e-09,0.00727709877234862,32343384,0,0.17885084815181573
Moldova,MDA,2010,0.0008317353879294227,3.187187698562146e-09,0.030701170405457022,2861487,0,0.30720701147584734
Hungary,HUN,2010,0.0002889993353015289,4.983506186302042e-09,0.02843323460356041,10000023,0,0.20556327280289
Lithuania,LTU,2010,0.0010977366607238218,1.706186812715468e-08,0.004479088439476935,3097282,0,-0.14700013021536829
Switzerland,CHE,2010,0.0004396217259523402,3.842702677636711e-09,0.0056426215308063,7824909,0,0.19085838183415604
Austria,AUT,2010,0.0004304467415420803,1.1248942889906155e-08,0.023851890928621885,8363404,0,0.018837430094400642
Jamaica,JAM,2010,0.0013520899040158493,4.838980414171788e-09,0.0038804980245254876,2810464,0,0.12356591049332181
Latvia,LVA,2010,0.0018402378006774553,3.9150495177140575e-08,0.025843422460912823,2097555,0,-0.25168106503496535
Dominican Republic,DOM,2010,0.0006302141583232056,5.207376545281104e-09,0.00562344941273014,9695117,0,0.12391980666786363
